GrLivArea,BedroomAbvGr,TotalBathrooms,SalePrice
1710.0,3.0,3.5,208500
1262.0,3.0,2.5,181500
1786.0,3.0,3.5,223500
1717.0,3.0,2.0,140000
2198.0,4.0,3.5,250000
1362.0,1.0,2.5,143000
1694.0,3.0,3.0,307000
2090.0,3.0,3.5,200000
1774.0,2.0,2.0,129900
1077.0,2.0,2.0,118000
1040.0,3.0,2.0,129500
2324.0,4.0,4.0,345000
912.0,2.0,2.0,144000
1494.0,3.0,2.0,279500
1253.0,2.0,2.5,157000
854.0,2.0,1.0,132000
1004.0,2.0,2.0,149000
1296.0,2.0,2.0,90000
1114.0,3.0,2.5,159000
1339.0,3.0,1.0,139000
2376.0,4.0,3.5,325300
1108.0,3.0,1.0,139400
1795.0,3.0,2.0,230000
1060.0,3.0,2.0,129900
1060.0,3.0,2.0,154000
1600.0,3.0,2.0,256300
900.0,3.0,1.5,134800
1704.0,3.0,3.0,306000
1600.0,2.0,2.0,207500
520.0,1.0,1.0,68500
1317.0,3.0,1.0,40000
1228.0,3.0,1.5,149350
1234.0,3.0,2.0,179900
1700.0,4.0,2.0,165500
1561.0,2.0,3.0,277500
2452.0,4.0,3.5,309000
1097.0,3.0,1.5,145000
1297.0,3.0,1.5,153000
1057.0,3.0,2.0,109000
1152.0,2.0,2.0,82000
1324.0,3.0,2.0,160000
1328.0,2.0,2.0,170000
884.0,2.0,2.0,144000
938.0,3.0,2.0,130250
1150.0,3.0,2.0,141000
1752.0,2.0,3.0,319900
2149.0,1.0,2.5,239686
1656.0,3.0,2.0,249700
1452.0,2.0,2.0,113000
955.0,3.0,2.0,127000
1470.0,3.0,2.5,177000
1176.0,3.0,1.0,114500
816.0,2.0,2.0,110000
1842.0,0.0,2.5,385000
1360.0,3.0,1.0,130000
1425.0,3.0,2.0,180500
1739.0,3.0,3.5,172500
1720.0,3.0,2.5,196500
2945.0,3.0,3.5,438780
780.0,2.0,1.0,124900
1158.0,3.0,2.5,158000
1111.0,3.0,1.0,101000
1370.0,2.0,2.0,202500
1710.0,3.0,2.0,140000
