GrLivArea,BedroomAbvGr,TotalBathrooms
896,2,1.0
1329,3,1.5
1629,3,2.5
1604,3,2.5
1280,2,2.0
1655,3,2.5
1187,3,3.0
1465,3,2.5
1341,2,2.5
882,2,2.0
1337,2,3.0
987,2,1.5
1092,3,1.5
1456,3,2.5
836,2,1.0
2334,3,2.5
1544,3,2.0
1698,3,2.0
1822,3,2.0
2696,3,3.5
2250,3,3.5
1370,2,2.0
1324,3,2.0
1145,2,2.0
1374,3,3.5
1733,3,2.5
2475,4,2.5
1595,2,2.0
1218,2,2.0
1468,2,3.0
1659,3,2.5
1012,2,1.0
1494,3,3.0
2349,4,3.5
2225,4,3.5
1488,2,3.0
1680,2,2.5
1200,2,2.5
1200,2,3.5
1236,2,3.5
1512,2,3.5
1080,2,2.5
1418,1,2.5
1848,3,3.5
1492,3,3.0
1829,4,3.0
2495,4,3.5
1891,3,3.5
1645,4,2.0
1232,3,2.5
1209,3,2.0
1510,3,3.0
1775,3,2.0
1728,6,4.0
2461,3,2.0
1556,3,2.0
1128,2,2.0
1604,4,2.0
1480,3,3.0
1143,3,2.0
1206,3,1.0
1580,3,2.5
1337,3,1.0
1064,2,1.5
972,3,1.0
988,2,2.0
985,2,1.5
1224,3,2.0
1175,3,1.5
1395,2,2.0
1844,3,2.0
936,2,2.0
1347,3,2.5
1251,3,1.0
1633,3,1.0
1245,3,1.0
832,2,1.0
1566,3,2.0
2268,3,3.0
2256,4,2.0
1470,2,1.5
1612,3,1.5
2068,3,1.5
765,2,2.0
1132,2,2.0
1196,3,2.0
1453,3,1.5
1416,3,1.5
1040,2,1.0
1536,4,2.0
1068,2,2.0
1962,4,1.5
1560,3,1.5
1324,3,1.5
1675,3,2.0
1224,3,1.5
1392,3,2.0
919,3,1.0
1884,4,1.5
1680,2,3.0
1832,4,4.0
892,3,2.0
864,2,2.0
1373,3,2.0
1440,4,1.5
1483,1,2.5
756,2,1.0
1981,4,3.5
1610,4,2.5
1074,3,2.0
1531,3,1.0
1172,3,2.0
1508,1,2.0
1298,3,2.0
1433,1,2.5
1802,3,3.0
1222,2,2.0
1445,3,2.0
965,2,2.0
1692,3,2.5
1026,3,2.5
876,3,2.0
1978,3,3.5
2098,4,2.5
848,1,2.0
640,2,1.0
992,3,1.0
1196,3,2.0
1120,2,1.0
1096,3,2.0
960,3,1.0
1296,2,2.0
856,2,2.0
2650,6,3.0
1666,3,2.0
2133,4,2.5
2177,5,2.5
1652,3,3.5
1034,1,2.0
1191,2,2.0
540,1,1.0
1107,2,1.0
952,3,1.0
1646,2,3.5
1916,3,3.5
1285,3,2.5
2048,5,3.0
1346,3,3.0
1214,2,2.0
1444,3,2.5
1264,2,2.0
1430,3,2.0
1344,3,2.0
